district,lat,lon
DHANBAD,23.779180802702705,86.38947885585587
DHAR,23.036023519421487,76.05447090826446
DHARMAPURI,12.117399130588234,78.23180745690196
DHARWAD,15.382070514975846,75.12741176666667
DHEMAJI,27.532958423157897,94.65895383894738
DHENKANAL,20.81321138734694,85.5261409232653
DHOLPUR,26.74815350160428,77.70354885294118
DHUBRI,26.209603783064516,90.27489199838709
DHULE,21.095321934798534,74.62977388849816
DIBANG VALLEY,28.287273176,95.64279158933333
DIBRUGARH,27.309676808715597,95.04381708027523
DIMA HASAO,24.938347487179488,92.97165803846154
DIMAPUR,25.836168754347824,93.78492358695652
DINAJPUR DAKSHIN,25.32758594842767,88.64572249433962
DINAJPUR UTTAR,25.73160455145631,88.25272959951457
DINDIGUL,10.41155447291939,77.83755900485839
DINDORI,23.645793917928994,80.63016652313608
DIU,20.722414675,70.93972855
DODA,32.20788479090909,75.38115166363637
DOHAD,22.885438319196428,74.08117220580357
DUMKA,24.36674828327526,87.05945014390244
DUNGARPUR,23.741799836734693,73.85684806870749
DURG,21.282941868,81.33342896914286
EAST,28.635818969565218,77.29702519130434
EAST DISTRICT,27.358879496078433,88.56164156078431
EAST GARO HILLS,25.619850500000002,90.61169498214285
EAST GODAVARI,17.194907490862946,81.86728831593909
EAST JAINTIA HILLS,25.28893696875,92.4032211875
EAST KAMENG,27.30971778191489,93.07457392021276
EAST KHASI HILLS,25.481369912950818,91.69782617672132
EAST NIMAR,21.984985691802326,76.57133221209301
EAST SIANG,28.047249385957446,95.14179147106384
EAST SINGHBUM,22.679200252436782,86.36710619233716
ELURU,16.831096965720825,81.1387222164302
ERNAKULAM,10.121855368641285,76.42678155504011
ERODE,11.396338333333333,77.51781609532163
ETAH,27.52030929596946,78.72934329534382
ETAWAH,26.763611641714284,79.08322327885715
FARIDABAD,28.133761851515153,77.9573990590909
FARIDKOT,30.563563215384615,74.84771629076923
FARRUKHABAD,27.247293732903223,79.87723032774194
FATEHABAD,29.606628136440676,75.59219070762713
FATEHGARH SAHIB,30.495996505747126,76.33601213448276
FATEHPUR,25.887828771496064,80.78127430566929
FAZILKA,30.462665998611115,74.27535990069445
FIROZABAD,25.16955481604938,78.61799857530865
FIROZEPUR,30.81366350737705,74.73679914344262
